iter	Logloss
0	0.6402895859
1	0.5972758881
2	0.5506658037
3	0.5156293592
4	0.4880506684
5	0.4625565778
6	0.4328064818
7	0.4132814036
8	0.3922836412
9	0.3758904857
10	0.3605531028
11	0.3459428448
12	0.3340879256
13	0.3215721031
14	0.3109858631
15	0.3023015835
16	0.2951809306
17	0.2876835095
18	0.2810635884
19	0.2738124642
20	0.2701937241
21	0.2656510429
22	0.2612652961
23	0.2564989399
24	0.2524678943
25	0.2476400608
26	0.2450303891
27	0.2396978379
28	0.2364839552
29	0.2313505191
30	0.2282253852
31	0.2257172074
32	0.2233205922
33	0.2210527271
34	0.2177834518
35	0.215336	0.2136	0.21237	0.212170443
38	0.2102246876
39	0.2082004293
40	0.2055530415
41	0.2037635036
42	0.2031910098
43	0.2024082366
44	0.2014761564
45	0.1994093741
46	0.1970917787
47	0.1952684881
48	0.1936232801
49	0.1923302843
50	0.1904871356
51	0.1891361088
52	0.1873614734
53	0.1869980314
54	0.1861315043
55	0.1840337443
56	0.1823547843
57	0.1812739526
58	0.180611118
59	0.1789109902
60	0.1781364377
61	0.1755612654
62	0.1748504123
63	0.1728131833
64	0.1705669367
65	0.1702530947
66	0.1696102888
67	0.1682498789
68	0.1673257525
69	0.1671643565
70	0.1667127432
71	0.1648897976
72	0.1640865342
73	0.1638261841
74	0.1635697903
75	0.1630908971
76	0.162045496
77	0.1608441583
78	0.1601501914
79	0.1599993159
80	0.1593571422
81	0.15817257
82	0.1570892733
83	0.1557390396
84	0.1550945367
85	0.1542262864
86	0.1540363474
87	0.1533170013
88	0.1520126828
89	0.1509307642
90	0.1497934026
91	0.1487459615
92	0.1485346422
93	0.1479174558
94	0.1471296671
95	0.1462907923
96	0.1447695976
97	0.1428371921
98	0.14188394
99	0.1413140501
1402923908
