iter	Passed	Remaining
0	1	187
1	3	180
2	5	179
3	7	171
4	8	152
5	8	139
6	9	129
7	10	122
8	11	116
9	12	111
10	13	107
11	14	103
12	14	100
13	15	97
14	16	94
15	17	92
16	18	90
17	19	88
18	20	86
19	21	84
20	21	82
21	22	80
22	23	79
23	24	77
24	25	76
25	26	74
26	27	73
27	28	72
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
335	33	59336	35	60
37	37	60
38	38	60
39	39	59
40	41	59
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
98	88	0
99	89	0
95	114	4
96	115	3
97	115	2
98	116	1
99	117	0
